transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,month,month_name,year_month,quarter,age_group,transaction_value_band,revenue_per_unit
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,11,November,2023-11,Q4,25-34,Medium,50
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,2,February,2023-02,Q1,25-34,High,500
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,1,January,2023-01,Q1,45-54,Low,30
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,5,May,2023-05,Q2,35-44,High,500
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,5,May,2023-05,Q2,25-34,Medium,50
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,4,April,2023-04,Q2,45-54,Low,30
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,3,March,2023-03,Q1,45-54,Low,25
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,2,February,2023-02,Q1,25-34,Medium,25
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,12,December,2023-12,Q4,55-64,High,300
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,10,October,2023-10,Q4,45-54,Medium,50
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,2,February,2023-02,Q1,18-24,Medium,50
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,10,October,2023-10,Q4,35-44,Low,25
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,8,August,2023-08,Q3,18-24,High,500
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,1,January,2023-01,Q1,55-64,Medium,30
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,1,January,2023-01,Q1,35-44,High,500
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,2,February,2023-02,Q1,18-24,High,500
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,4,April,2023-04,Q2,25-34,Medium,25
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,4,April,2023-04,Q2,45-54,Low,25
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,9,September,2023-09,Q3,55-64,Low,25
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,11,November,2023-11,Q4,18-24,High,300
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,1,January,2023-01,Q1,45-54,High,500
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,10,October,2023-10,Q4,18-24,Medium,50
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,4,April,2023-04,Q2,35-44,Medium,30
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,11,November,2023-11,Q4,45-54,Medium,300
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,12,December,2023-12,Q4,55-64,Low,50
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,10,October,2023-10,Q4,25-34,High,500
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,8,August,2023-08,Q3,35-44,Low,25
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,4,April,2023-04,Q2,35-44,High,500
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,8,August,2023-08,Q3,35-44,Low,30
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,10,October,2023-10,Q4,35-44,High,300
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,5,May,2023-05,Q2,35-44,High,300
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,1,January,2023-01,Q1,25-34,Low,30
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,3,March,2023-03,Q1,45-54,Medium,50
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,12,December,2023-12,Q4,45-54,Medium,50
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,8,August,2023-08,Q3,55-64,High,300
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,6,June,2023-06,Q2,45-54,High,300
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,5,May,2023-05,Q2,18-24,Low,25
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,3,March,2023-03,Q1,35-44,Medium,50
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,4,April,2023-04,Q2,18-24,Medium,30
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,6,June,2023-06,Q2,45-54,Low,50
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,2,February,2023-02,Q1,25-34,Low,25
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,2,February,2023-02,Q1,18-24,High,300
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,7,July,2023-07,Q3,45-54,Medium,300
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,2,February,2023-02,Q1,18-24,Low,25
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,7,July,2023-07,Q3,55-64,Low,30
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,6,June,2023-06,Q2,18-24,High,300
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,11,November,2023-11,Q4,35-44,High,500
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,5,May,2023-05,Q2,45-54,High,300
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,1,January,2023-01,Q1,45-54,High,500
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,8,August,2023-08,Q3,25-34,Low,25
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,10,October,2023-10,Q4,25-34,Low,25
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,3,March,2023-03,Q1,35-44,Medium,300
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,7,July,2023-07,Q3,25-34,Medium,50
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,2,February,2023-02,Q1,35-44,High,500
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,10,October,2023-10,Q4,25-34,Medium,30
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,5,May,2023-05,Q2,25-34,High,300
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,11,November,2023-11,Q4,55-64,Low,30
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,11,November,2023-11,Q4,18-24,High,300
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,7,July,2023-07,Q3,55-64,Low,50
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,10,October,2023-10,Q4,25-34,Medium,50
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,4,April,2023-04,Q2,18-24,Medium,50
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,12,December,2023-12,Q4,18-24,Medium,50
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,2,February,2023-02,Q1,55-64,Low,25
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,1,January,2023-01,Q1,45-54,Medium,25
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,12,December,2023-12,Q4,45-54,High,500
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,4,April,2023-04,Q2,45-54,Low,30
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,5,May,2023-05,Q2,45-54,High,300
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,2,February,2023-02,Q1,25-34,Medium,300
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,4,April,2023-04,Q2,55-64,Low,25
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,2,February,2023-02,Q1,35-44,Medium,300
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,7,July,2023-07,Q3,45-54,Medium,25
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,5,May,2023-05,Q2,18-24,High,500
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,8,August,2023-08,Q3,25-34,Low,30
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,11,November,2023-11,Q4,18-24,High,500
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,7,July,2023-07,Q3,55-64,Medium,50
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,3,March,2023-03,Q1,18-24,Medium,50
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,7,July,2023-07,Q3,45-54,Medium,50
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,7,July,2023-07,Q3,45-54,High,500
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,4,April,2023-04,Q2,25-34,Medium,300
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,12,December,2023-12,Q4,55-64,Low,30
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,5,May,2023-05,Q2,35-44,Low,50
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,12,December,2023-12,Q4,25-34,Medium,50
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,12,December,2023-12,Q4,45-54,Medium,50
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,11,November,2023-11,Q4,35-44,Low,30
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,2,February,2023-02,Q1,25-34,Medium,50
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,11,November,2023-11,Q4,18-24,Low,30
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,11,November,2023-11,Q4,25-34,Medium,50
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,3,March,2023-03,Q1,55-64,High,500
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,10,October,2023-10,Q4,55-64,High,500
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,5,May,2023-05,Q2,45-54,Low,30
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,3,March,2023-03,Q1,55-64,High,500
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,8,August,2023-08,Q3,45-54,Medium,30
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,7,July,2023-07,Q3,35-44,High,500
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,5,May,2023-05,Q2,45-54,High,500
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,11,November,2023-11,Q4,25-34,Low,30
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,12,December,2023-12,Q4,35-44,High,300
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,10,October,2023-10,Q4,45-54,High,500
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,4,April,2023-04,Q2,55-64,Medium,50
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,12,December,2023-12,Q4,45-54,High,300
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,6,June,2023-06,Q2,35-44,Low,30
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,1,January,2023-01,Q1,25-34,High,300
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,4,April,2023-04,Q2,45-54,Low,25
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,1,January,2023-01,Q1,55-64,Low,25
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,6,June,2023-06,Q2,25-34,High,500
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,7,July,2023-07,Q3,18-24,High,500
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,5,May,2023-05,Q2,45-54,Low,50
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,2,February,2023-02,Q1,18-24,High,300
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,4,April,2023-04,Q2,25-34,Low,25
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,10,October,2023-10,Q4,25-34,High,500
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,6,June,2023-06,Q2,25-34,High,300
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,4,April,2023-04,Q2,25-34,High,500
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,12,December,2023-12,Q4,35-44,High,500
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,9,September,2023-09,Q3,35-44,Low,25
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,7,July,2023-07,Q3,18-24,Medium,25
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,11,November,2023-11,Q4,45-54,High,500
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,8,August,2023-08,Q3,18-24,Low,30
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,3,March,2023-03,Q1,18-24,High,500
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,5,May,2023-05,Q2,25-34,High,500
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,3,March,2023-03,Q1,55-64,Medium,50
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,5,May,2023-05,Q2,55-64,Low,50
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,10,October,2023-10,Q4,25-34,Medium,50
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,10,October,2023-10,Q4,55-64,Medium,30
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,5,May,2023-05,Q2,35-44,Low,30
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,10,October,2023-10,Q4,25-34,High,500
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,8,August,2023-08,Q3,45-54,Medium,50
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,10,October,2023-10,Q4,25-34,Low,30
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,7,July,2023-07,Q3,25-34,Low,25
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,7,July,2023-07,Q3,25-34,High,500
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,4,April,2023-04,Q2,18-24,High,300
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,3,March,2023-03,Q1,55-64,High,500
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,9,September,2023-09,Q3,18-24,High,300
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,9,September,2023-09,Q3,35-44,Medium,50
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,2,February,2023-02,Q1,18-24,High,300
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,1,January,2023-01,Q1,45-54,Low,50
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,2,February,2023-02,Q1,18-24,Low,25
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,3,March,2023-03,Q1,35-44,High,300
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,11,November,2023-11,Q4,45-54,High,500
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,3,March,2023-03,Q1,45-54,Medium,50
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,12,December,2023-12,Q4,35-44,High,500
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,8,August,2023-08,Q3,35-44,Low,30
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,11,November,2023-11,Q4,18-24,Low,50
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,2,February,2023-02,Q1,35-44,High,300
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,7,July,2023-07,Q3,45-54,Low,50
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,7,July,2023-07,Q3,55-64,High,500
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,11,November,2023-11,Q4,35-44,Low,25
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,8,August,2023-08,Q3,35-44,Medium,50
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,9,September,2023-09,Q3,18-24,Medium,300
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,5,May,2023-05,Q2,18-24,Low,30
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,10,October,2023-10,Q4,18-24,Low,25
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,1,January,2023-01,Q1,55-64,Medium,30
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,12,December,2023-12,Q4,25-34,Low,50
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,2,February,2023-02,Q1,35-44,High,500
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,12,December,2023-12,Q4,55-64,High,500
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,10,October,2023-10,Q4,45-54,High,300
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,5,May,2023-05,Q2,25-34,High,500
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,11,November,2023-11,Q4,35-44,Medium,25
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,6,June,2023-06,Q2,55-64,High,500
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,2,February,2023-02,Q1,35-44,High,300
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,5,May,2023-05,Q2,25-34,Medium,50
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,8,August,2023-08,Q3,35-44,Medium,50
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,3,March,2023-03,Q1,55-64,High,500
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,8,August,2023-08,Q3,35-44,Low,30
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,1,January,2023-01,Q1,55-64,Medium,50
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,5,May,2023-05,Q2,45-54,High,500
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,9,September,2023-09,Q3,55-64,High,300
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,4,April,2023-04,Q2,25-34,High,500
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,9,September,2023-09,Q3,35-44,Medium,50
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,2,February,2023-02,Q1,45-54,Medium,300
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,11,November,2023-11,Q4,18-24,High,500
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,6,June,2023-06,Q2,25-34,Low,25
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,11,November,2023-11,Q4,45-54,High,300
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,9,September,2023-09,Q3,25-34,Low,25
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,11,November,2023-11,Q4,55-64,Medium,30
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,4,April,2023-04,Q2,35-44,Medium,300
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,3,March,2023-03,Q1,25-34,Medium,25
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,7,July,2023-07,Q3,35-44,Medium,50
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,3,March,2023-03,Q1,45-54,Medium,50
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,10,October,2023-10,Q4,35-44,Low,30
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,9,September,2023-09,Q3,25-34,Medium,300
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,1,January,2023-01,Q1,35-44,High,300
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,11,November,2023-11,Q4,18-24,High,300
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,6,June,2023-06,Q2,55-64,Medium,30
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,9,September,2023-09,Q3,35-44,High,300
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,1,January,2023-01,Q1,25-34,Medium,50
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,2,February,2023-02,Q1,18-24,Low,25
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,7,July,2023-07,Q3,18-24,Medium,50
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,6,June,2023-06,Q2,55-64,Medium,50
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,5,May,2023-05,Q2,35-44,Low,25
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,1,January,2023-01,Q1,55-64,Low,50
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,5,May,2023-05,Q2,55-64,Low,30
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,10,October,2023-10,Q4,55-64,Low,25
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,2,February,2023-02,Q1,55-64,Medium,50
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,2,February,2023-02,Q1,35-44,High,500
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,9,September,2023-09,Q3,55-64,Medium,50
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,2,February,2023-02,Q1,45-54,Low,30
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,9,September,2023-09,Q3,25-34,High,300
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,3,March,2023-03,Q1,35-44,Medium,50
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,3,March,2023-03,Q1,45-54,High,300
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,12,December,2023-12,Q4,45-54,High,500
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150,9,September,2023-09,Q3,25-34,Medium,50
201,2023-10-09,CUST201,Male,56,Electronics,1,25,25,10,October,2023-10,Q4,55-64,Low,25
202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,3,March,2023-03,Q1,25-34,High,300
203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,5,May,2023-05,Q2,55-64,High,500
204,2023-09-28,CUST204,Male,39,Beauty,1,25,25,9,September,2023-09,Q3,35-44,Low,25
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,11,November,2023-11,Q4,35-44,Low,25
206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,8,August,2023-08,Q3,55-64,Low,25
207,2023-04-19,CUST207,Female,42,Beauty,2,25,50,4,April,2023-04,Q2,35-44,Low,25
208,2023-10-04,CUST208,Female,34,Electronics,4,50,200,10,October,2023-10,Q4,25-34,Medium,50
209,2023-12-20,CUST209,Female,30,Electronics,4,50,200,12,December,2023-12,Q4,25-34,Medium,50
210,2023-04-13,CUST210,Male,37,Electronics,4,50,200,4,April,2023-04,Q2,35-44,Medium,50
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500,1,January,2024-01,Q1,35-44,High,500
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,6,June,2023-06,Q2,18-24,High,500
213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500,7,July,2023-07,Q3,25-34,High,500
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,12,December,2023-12,Q4,18-24,Low,30
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,11,November,2023-11,Q4,55-64,High,500
216,2023-07-11,CUST216,Male,62,Electronics,2,50,100,7,July,2023-07,Q3,55-64,Medium,50
217,2023-08-13,CUST217,Female,35,Electronics,4,50,200,8,August,2023-08,Q3,35-44,Medium,50
218,2023-09-22,CUST218,Male,64,Beauty,3,30,90,9,September,2023-09,Q3,55-64,Low,30
219,2023-08-20,CUST219,Female,53,Electronics,3,30,90,8,August,2023-08,Q3,45-54,Low,30
220,2023-03-03,CUST220,Male,64,Beauty,1,500,500,3,March,2023-03,Q1,55-64,High,500
221,2023-05-07,CUST221,Male,39,Beauty,2,300,600,5,May,2023-05,Q2,35-44,High,300
222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,4,April,2023-04,Q2,45-54,Medium,30
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,2,February,2023-02,Q1,55-64,Low,25
224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,6,June,2023-06,Q2,25-34,Low,50
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,1,January,2023-01,Q1,55-64,Medium,25
226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,10,October,2023-10,Q4,55-64,Low,50
227,2023-10-11,CUST227,Male,36,Electronics,2,50,100,10,October,2023-10,Q4,35-44,Medium,50
228,2023-04-28,CUST228,Female,59,Electronics,2,30,60,4,April,2023-04,Q2,55-64,Low,30
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90,10,October,2023-10,Q4,55-64,Low,30
230,2023-04-23,CUST230,Male,54,Beauty,1,25,25,4,April,2023-04,Q2,45-54,Low,25
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,1,January,2023-01,Q1,18-24,Medium,50
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25,2,February,2023-02,Q1,35-44,Low,25
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600,12,December,2023-12,Q4,45-54,High,300
234,2023-11-20,CUST234,Female,62,Electronics,2,25,50,11,November,2023-11,Q4,55-64,Low,25
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,1,January,2023-01,Q1,18-24,High,500
236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,4,April,2023-04,Q2,45-54,Low,25
237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000,2,February,2023-02,Q1,45-54,High,500
238,2023-01-17,CUST238,Female,39,Beauty,1,500,500,1,January,2023-01,Q1,35-44,High,500
239,2023-06-19,CUST239,Male,38,Electronics,3,500,1500,6,June,2023-06,Q2,35-44,High,500
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,2,February,2023-02,Q1,18-24,Medium,300
241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,9,September,2023-09,Q3,18-24,Low,25
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,5,May,2023-05,Q2,18-24,Low,25
243,2023-05-23,CUST243,Female,47,Electronics,3,300,900,5,May,2023-05,Q2,45-54,High,300
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100,12,December,2023-12,Q4,25-34,Medium,50
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,9,September,2023-09,Q3,45-54,Low,30
246,2023-04-20,CUST246,Female,48,Electronics,2,25,50,4,April,2023-04,Q2,45-54,Low,25
247,2023-10-04,CUST247,Male,41,Electronics,2,30,60,10,October,2023-10,Q4,35-44,Low,30
248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,3,March,2023-03,Q1,25-34,High,300
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,10,October,2023-10,Q4,18-24,Low,50
