transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,month,month_name,year_month,quarter,age_group,transaction_value_band,revenue_per_unit
250,2023-10-23,CUST250,Male,48,Electronics,1,50,50,10,October,2023-10,Q4,45-54,Low,50
251,2023-08-31,CUST251,Female,57,Beauty,4,50,200,8,August,2023-08,Q3,55-64,Medium,50
252,2023-05-05,CUST252,Male,54,Electronics,1,300,300,5,May,2023-05,Q2,45-54,Medium,300
253,2023-08-31,CUST253,Female,53,Clothing,4,500,2000,8,August,2023-08,Q3,45-54,High,500
254,2023-07-28,CUST254,Male,41,Electronics,1,500,500,7,July,2023-07,Q3,35-44,High,500
255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,4,April,2023-04,Q2,45-54,Low,30
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,2,February,2023-02,Q1,18-24,High,500
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,2,February,2023-02,Q1,18-24,High,500
258,2023-12-04,CUST258,Female,37,Clothing,1,50,50,12,December,2023-12,Q4,35-44,Low,50
259,2023-08-09,CUST259,Female,45,Clothing,4,50,200,8,August,2023-08,Q3,45-54,Medium,50
260,2023-07-01,CUST260,Male,28,Beauty,2,30,60,7,July,2023-07,Q3,25-34,Low,30
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,8,August,2023-08,Q3,18-24,Low,25
262,2023-07-30,CUST262,Female,32,Beauty,4,30,120,7,July,2023-07,Q3,25-34,Medium,30
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,8,August,2023-08,Q3,18-24,Low,30
264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,1,January,2023-01,Q1,45-54,High,300
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,12,December,2023-12,Q4,55-64,High,300
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,12,December,2023-12,Q4,18-24,Low,30
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90,11,November,2023-11,Q4,25-34,Low,30
268,2023-02-20,CUST268,Female,28,Electronics,1,30,30,2,February,2023-02,Q1,25-34,Low,30
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,2,February,2023-02,Q1,25-34,High,500
270,2023-07-26,CUST270,Male,43,Electronics,1,300,300,7,July,2023-07,Q3,35-44,Medium,300
271,2023-06-23,CUST271,Female,62,Beauty,4,30,120,6,June,2023-06,Q2,55-64,Medium,30
272,2023-02-25,CUST272,Female,61,Electronics,2,50,100,2,February,2023-02,Q1,55-64,Medium,50
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,5,May,2023-05,Q2,18-24,Low,50
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,4,April,2023-04,Q2,18-24,High,500
275,2023-04-08,CUST275,Male,43,Clothing,2,500,1000,4,April,2023-04,Q2,35-44,High,500
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100,10,October,2023-10,Q4,18-24,Medium,25
277,2023-08-18,CUST277,Male,36,Clothing,4,25,100,8,August,2023-08,Q3,35-44,Medium,25
278,2023-03-13,CUST278,Female,37,Clothing,4,25,100,3,March,2023-03,Q1,35-44,Medium,25
279,2023-08-05,CUST279,Male,50,Clothing,1,500,500,8,August,2023-08,Q3,45-54,High,500
280,2023-04-04,CUST280,Female,37,Clothing,3,500,1500,4,April,2023-04,Q2,35-44,High,500
281,2023-05-23,CUST281,Female,29,Beauty,4,500,2000,5,May,2023-05,Q2,25-34,High,500
282,2023-08-25,CUST282,Female,64,Electronics,4,50,200,8,August,2023-08,Q3,55-64,Medium,50
283,2023-05-08,CUST283,Female,18,Electronics,1,500,500,5,May,2023-05,Q2,18-24,High,500
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200,2,February,2023-02,Q1,35-44,Medium,50
285,2023-08-15,CUST285,Female,31,Electronics,1,25,25,8,August,2023-08,Q3,25-34,Low,25
286,2023-10-09,CUST286,Male,55,Electronics,2,25,50,10,October,2023-10,Q4,55-64,Low,25
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100,2,February,2023-02,Q1,45-54,Medium,25
288,2023-01-26,CUST288,Male,28,Clothing,4,30,120,1,January,2023-01,Q1,25-34,Medium,30
289,2023-11-30,CUST289,Male,53,Electronics,2,30,60,11,November,2023-11,Q4,45-54,Low,30
290,2023-10-04,CUST290,Female,30,Beauty,2,300,600,10,October,2023-10,Q4,25-34,High,300
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,1,January,2023-01,Q1,55-64,High,300
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,2,February,2023-02,Q1,18-24,High,300
293,2023-05-02,CUST293,Male,50,Electronics,3,30,90,5,May,2023-05,Q2,45-54,Low,30
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,3,March,2023-03,Q1,18-24,Low,30
295,2023-07-28,CUST295,Female,27,Beauty,3,300,900,7,July,2023-07,Q3,25-34,High,300
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,9,September,2023-09,Q3,18-24,High,300
297,2023-09-04,CUST297,Female,40,Electronics,2,500,1000,9,September,2023-09,Q3,35-44,High,500
298,2023-04-20,CUST298,Male,27,Beauty,4,300,1200,4,April,2023-04,Q2,25-34,High,300
299,2023-07-25,CUST299,Male,61,Electronics,2,500,1000,7,July,2023-07,Q3,55-64,High,500
300,2023-01-31,CUST300,Female,19,Electronics,4,50,200,1,January,2023-01,Q1,18-24,Medium,50
301,2023-03-26,CUST301,Male,30,Clothing,4,30,120,3,March,2023-03,Q1,25-34,Medium,30
302,2023-07-14,CUST302,Male,57,Beauty,2,300,600,7,July,2023-07,Q3,55-64,High,300
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,1,January,2023-01,Q1,18-24,Low,30
304,2023-07-19,CUST304,Female,37,Electronics,2,30,60,7,July,2023-07,Q3,35-44,Low,30
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30,5,May,2023-05,Q2,18-24,Low,30
306,2023-08-21,CUST306,Male,54,Electronics,1,50,50,8,August,2023-08,Q3,45-54,Low,50
307,2023-05-27,CUST307,Female,26,Electronics,2,25,50,5,May,2023-05,Q2,25-34,Low,25
308,2023-08-05,CUST308,Female,34,Beauty,4,300,1200,8,August,2023-08,Q3,25-34,High,300
309,2023-12-23,CUST309,Female,26,Beauty,1,25,25,12,December,2023-12,Q4,25-34,Low,25
310,2023-10-12,CUST310,Female,28,Beauty,1,25,25,10,October,2023-10,Q4,25-34,Low,25
311,2023-12-05,CUST311,Female,32,Beauty,4,25,100,12,December,2023-12,Q4,25-34,Medium,25
312,2023-09-07,CUST312,Male,41,Clothing,4,30,120,9,September,2023-09,Q3,35-44,Medium,30
313,2023-03-21,CUST313,Female,55,Beauty,3,500,1500,3,March,2023-03,Q1,55-64,High,500
314,2023-04-08,CUST314,Male,52,Clothing,4,30,120,4,April,2023-04,Q2,45-54,Medium,30
315,2023-06-01,CUST315,Male,47,Clothing,2,30,60,6,June,2023-06,Q2,45-54,Low,30
316,2023-04-22,CUST316,Female,48,Clothing,2,25,50,4,April,2023-04,Q2,45-54,Low,25
317,2023-01-30,CUST317,Male,22,Electronics,3,30,90,1,January,2023-01,Q1,18-24,Low,30
318,2023-10-24,CUST318,Male,61,Clothing,1,25,25,10,October,2023-10,Q4,55-64,Low,25
319,2023-10-05,CUST319,Male,31,Clothing,1,500,500,10,October,2023-10,Q4,25-34,High,500
320,2023-02-01,CUST320,Female,28,Electronics,4,300,1200,2,February,2023-02,Q1,25-34,High,300
321,2023-06-10,CUST321,Female,26,Electronics,2,25,50,6,June,2023-06,Q2,25-34,Low,25
322,2023-01-30,CUST322,Male,51,Electronics,1,500,500,1,January,2023-01,Q1,45-54,High,500
323,2023-01-26,CUST323,Female,29,Beauty,3,300,900,1,January,2023-01,Q1,25-34,High,300
324,2023-10-27,CUST324,Female,52,Electronics,3,50,150,10,October,2023-10,Q4,45-54,Medium,50
325,2023-09-02,CUST325,Female,52,Electronics,2,25,50,9,September,2023-09,Q3,45-54,Low,25
326,2023-09-15,CUST326,Female,18,Clothing,3,25,75,9,September,2023-09,Q3,18-24,Low,25
327,2023-09-29,CUST327,Male,57,Electronics,3,50,150,9,September,2023-09,Q3,55-64,Medium,50
328,2023-03-22,CUST328,Male,39,Beauty,2,50,100,3,March,2023-03,Q1,35-44,Medium,50
329,2023-01-30,CUST329,Female,46,Electronics,4,25,100,1,January,2023-01,Q1,45-54,Medium,25
330,2023-09-18,CUST330,Female,25,Beauty,4,50,200,9,September,2023-09,Q3,25-34,Medium,50
331,2023-02-11,CUST331,Male,28,Electronics,3,30,90,2,February,2023-02,Q1,25-34,Low,30
332,2023-04-06,CUST332,Male,58,Electronics,4,300,1200,4,April,2023-04,Q2,55-64,High,300
333,2023-02-05,CUST333,Female,54,Electronics,4,300,1200,2,February,2023-02,Q1,45-54,High,300
334,2023-11-01,CUST334,Male,31,Electronics,3,300,900,11,November,2023-11,Q4,25-34,High,300
335,2023-02-04,CUST335,Female,47,Beauty,4,30,120,2,February,2023-02,Q1,45-54,Medium,30
336,2023-12-12,CUST336,Female,52,Beauty,3,50,150,12,December,2023-12,Q4,45-54,Medium,50
337,2023-05-01,CUST337,Male,38,Clothing,1,500,500,5,May,2023-05,Q2,35-44,High,500
338,2023-07-26,CUST338,Male,54,Beauty,2,50,100,7,July,2023-07,Q3,45-54,Medium,50
339,2023-03-03,CUST339,Female,22,Electronics,2,25,50,3,March,2023-03,Q1,18-24,Low,25
340,2023-10-19,CUST340,Female,36,Clothing,4,300,1200,10,October,2023-10,Q4,35-44,High,300
341,2023-05-07,CUST341,Male,31,Clothing,4,50,200,5,May,2023-05,Q2,25-34,Medium,50
342,2023-10-24,CUST342,Female,43,Clothing,4,500,2000,10,October,2023-10,Q4,35-44,High,500
343,2023-11-01,CUST343,Male,21,Electronics,2,25,50,11,November,2023-11,Q4,18-24,Low,25
344,2023-01-21,CUST344,Female,42,Beauty,1,30,30,1,January,2023-01,Q1,35-44,Low,30
345,2023-11-14,CUST345,Male,62,Electronics,1,30,30,11,November,2023-11,Q4,55-64,Low,30
346,2023-02-11,CUST346,Male,59,Clothing,2,500,1000,2,February,2023-02,Q1,55-64,High,500
347,2023-08-03,CUST347,Male,42,Electronics,1,25,25,8,August,2023-08,Q3,35-44,Low,25
348,2023-12-03,CUST348,Female,35,Electronics,2,300,600,12,December,2023-12,Q4,35-44,High,300
349,2023-10-26,CUST349,Female,57,Beauty,1,50,50,10,October,2023-10,Q4,55-64,Low,50
350,2023-10-17,CUST350,Male,25,Beauty,3,25,75,10,October,2023-10,Q4,25-34,Low,25
351,2023-09-25,CUST351,Female,56,Clothing,3,30,90,9,September,2023-09,Q3,55-64,Low,30
352,2023-06-11,CUST352,Male,57,Electronics,2,500,1000,6,June,2023-06,Q2,55-64,High,500
353,2023-05-14,CUST353,Male,31,Electronics,1,500,500,5,May,2023-05,Q2,25-34,High,500
354,2023-04-15,CUST354,Female,49,Beauty,4,50,200,4,April,2023-04,Q2,45-54,Medium,50
355,2023-12-09,CUST355,Female,55,Electronics,1,500,500,12,December,2023-12,Q4,55-64,High,500
356,2023-06-10,CUST356,Male,50,Electronics,3,500,1500,6,June,2023-06,Q2,45-54,High,500
357,2023-05-03,CUST357,Female,40,Electronics,3,25,75,5,May,2023-05,Q2,35-44,Low,25
358,2023-05-16,CUST358,Female,32,Beauty,1,300,300,5,May,2023-05,Q2,25-34,Medium,300
359,2023-07-22,CUST359,Male,50,Clothing,1,50,50,7,July,2023-07,Q3,45-54,Low,50
360,2023-03-09,CUST360,Male,42,Clothing,4,25,100,3,March,2023-03,Q1,35-44,Medium,25
361,2023-12-10,CUST361,Female,34,Electronics,4,300,1200,12,December,2023-12,Q4,25-34,High,300
362,2023-11-27,CUST362,Male,50,Clothing,1,25,25,11,November,2023-11,Q4,45-54,Low,25
363,2023-06-03,CUST363,Male,64,Beauty,1,25,25,6,June,2023-06,Q2,55-64,Low,25
364,2023-08-23,CUST364,Female,19,Beauty,1,500,500,8,August,2023-08,Q3,18-24,High,500
365,2023-06-11,CUST365,Male,31,Clothing,1,300,300,6,June,2023-06,Q2,25-34,Medium,300
366,2023-02-07,CUST366,Male,57,Clothing,2,50,100,2,February,2023-02,Q1,55-64,Medium,50
367,2023-01-05,CUST367,Female,57,Electronics,1,50,50,1,January,2023-01,Q1,55-64,Low,50
368,2023-08-23,CUST368,Female,56,Clothing,4,300,1200,8,August,2023-08,Q3,55-64,High,300
369,2023-11-15,CUST369,Male,23,Electronics,3,500,1500,11,November,2023-11,Q4,18-24,High,500
370,2023-10-16,CUST370,Male,23,Electronics,2,30,60,10,October,2023-10,Q4,18-24,Low,30
371,2023-02-21,CUST371,Female,20,Beauty,1,25,25,2,February,2023-02,Q1,18-24,Low,25
372,2023-02-07,CUST372,Female,24,Beauty,3,500,1500,2,February,2023-02,Q1,18-24,High,500
373,2023-10-03,CUST373,Female,25,Beauty,2,300,600,10,October,2023-10,Q4,25-34,High,300
374,2023-04-20,CUST374,Female,59,Beauty,3,25,75,4,April,2023-04,Q2,55-64,Low,25
375,2023-09-17,CUST375,Male,32,Clothing,1,50,50,9,September,2023-09,Q3,25-34,Low,50
376,2023-05-16,CUST376,Female,64,Beauty,1,30,30,5,May,2023-05,Q2,55-64,Low,30
377,2023-03-09,CUST377,Female,46,Clothing,4,50,200,3,March,2023-03,Q1,45-54,Medium,50
378,2023-06-28,CUST378,Male,50,Beauty,1,300,300,6,June,2023-06,Q2,45-54,Medium,300
379,2023-02-05,CUST379,Female,47,Clothing,1,25,25,2,February,2023-02,Q1,45-54,Low,25
380,2023-05-06,CUST380,Male,56,Electronics,2,300,600,5,May,2023-05,Q2,55-64,High,300
381,2023-07-09,CUST381,Female,44,Clothing,4,25,100,7,July,2023-07,Q3,35-44,Medium,25
382,2023-05-26,CUST382,Female,53,Clothing,2,500,1000,5,May,2023-05,Q2,45-54,High,500
383,2023-03-22,CUST383,Female,46,Beauty,3,30,90,3,March,2023-03,Q1,45-54,Low,30
384,2023-08-13,CUST384,Male,55,Clothing,1,500,500,8,August,2023-08,Q3,55-64,High,500
385,2023-10-06,CUST385,Male,50,Electronics,3,500,1500,10,October,2023-10,Q4,45-54,High,500
386,2023-12-27,CUST386,Female,54,Electronics,2,300,600,12,December,2023-12,Q4,45-54,High,300
387,2023-06-04,CUST387,Male,44,Beauty,1,30,30,6,June,2023-06,Q2,35-44,Low,30
388,2023-11-10,CUST388,Male,50,Electronics,1,25,25,11,November,2023-11,Q4,45-54,Low,25
389,2023-12-01,CUST389,Male,21,Clothing,2,25,50,12,December,2023-12,Q4,18-24,Low,25
390,2023-09-28,CUST390,Male,39,Electronics,2,50,100,9,September,2023-09,Q3,35-44,Medium,50
391,2023-01-05,CUST391,Male,19,Beauty,2,25,50,1,January,2023-01,Q1,18-24,Low,25
392,2023-12-08,CUST392,Male,27,Clothing,2,300,600,12,December,2023-12,Q4,25-34,High,300
393,2023-10-11,CUST393,Female,22,Beauty,2,500,1000,10,October,2023-10,Q4,18-24,High,500
394,2023-06-03,CUST394,Female,27,Clothing,1,500,500,6,June,2023-06,Q2,25-34,High,500
395,2023-12-06,CUST395,Male,50,Electronics,2,500,1000,12,December,2023-12,Q4,45-54,High,500
396,2023-02-23,CUST396,Female,55,Beauty,1,30,30,2,February,2023-02,Q1,55-64,Low,30
397,2023-03-10,CUST397,Female,30,Beauty,1,25,25,3,March,2023-03,Q1,25-34,Low,25
398,2023-05-16,CUST398,Female,48,Clothing,2,300,600,5,May,2023-05,Q2,45-54,High,300
399,2023-03-01,CUST399,Female,64,Beauty,2,30,60,3,March,2023-03,Q1,55-64,Low,30
400,2023-02-24,CUST400,Male,53,Clothing,4,50,200,2,February,2023-02,Q1,45-54,Medium,50
401,2023-10-11,CUST401,Female,62,Clothing,1,300,300,10,October,2023-10,Q4,55-64,Medium,300
402,2023-03-21,CUST402,Female,41,Clothing,2,300,600,3,March,2023-03,Q1,35-44,High,300
403,2023-05-20,CUST403,Male,32,Clothing,2,300,600,5,May,2023-05,Q2,25-34,High,300
404,2023-05-25,CUST404,Male,46,Electronics,2,500,1000,5,May,2023-05,Q2,45-54,High,500
405,2023-11-06,CUST405,Female,25,Clothing,4,300,1200,11,November,2023-11,Q4,25-34,High,300
406,2023-04-18,CUST406,Female,22,Beauty,4,25,100,4,April,2023-04,Q2,18-24,Medium,25
407,2023-06-25,CUST407,Female,46,Electronics,3,300,900,6,June,2023-06,Q2,45-54,High,300
408,2023-04-15,CUST408,Female,64,Beauty,1,500,500,4,April,2023-04,Q2,55-64,High,500
409,2023-12-18,CUST409,Female,21,Electronics,3,300,900,12,December,2023-12,Q4,18-24,High,300
410,2023-11-21,CUST410,Female,29,Clothing,2,50,100,11,November,2023-11,Q4,25-34,Medium,50
411,2023-05-16,CUST411,Male,62,Electronics,4,50,200,5,May,2023-05,Q2,55-64,Medium,50
412,2023-09-16,CUST412,Female,19,Electronics,4,500,2000,9,September,2023-09,Q3,18-24,High,500
413,2023-09-08,CUST413,Female,44,Beauty,3,25,75,9,September,2023-09,Q3,35-44,Low,25
414,2023-05-09,CUST414,Male,48,Beauty,4,25,100,5,May,2023-05,Q2,45-54,Medium,25
415,2023-01-27,CUST415,Male,53,Clothing,2,30,60,1,January,2023-01,Q1,45-54,Low,30
416,2023-02-17,CUST416,Male,53,Electronics,4,500,2000,2,February,2023-02,Q1,45-54,High,500
417,2023-11-21,CUST417,Male,43,Electronics,3,300,900,11,November,2023-11,Q4,35-44,High,300
418,2023-08-05,CUST418,Female,60,Electronics,2,500,1000,8,August,2023-08,Q3,55-64,High,500
419,2023-05-22,CUST419,Female,44,Clothing,3,30,90,5,May,2023-05,Q2,35-44,Low,30
420,2023-01-23,CUST420,Female,22,Clothing,4,500,2000,1,January,2023-01,Q1,18-24,High,500
421,2023-01-02,CUST421,Female,37,Clothing,3,500,1500,1,January,2023-01,Q1,35-44,High,500
422,2023-06-20,CUST422,Female,28,Clothing,3,30,90,6,June,2023-06,Q2,25-34,Low,30
423,2023-03-08,CUST423,Female,27,Clothing,1,25,25,3,March,2023-03,Q1,25-34,Low,25
424,2023-11-23,CUST424,Male,57,Beauty,4,300,1200,11,November,2023-11,Q4,55-64,High,300
425,2023-05-15,CUST425,Female,55,Electronics,4,30,120,5,May,2023-05,Q2,55-64,Medium,30
426,2023-03-24,CUST426,Male,23,Electronics,3,50,150,3,March,2023-03,Q1,18-24,Medium,50
427,2023-08-15,CUST427,Male,25,Electronics,1,25,25,8,August,2023-08,Q3,25-34,Low,25
428,2023-10-10,CUST428,Female,40,Electronics,4,50,200,10,October,2023-10,Q4,35-44,Medium,50
429,2023-12-28,CUST429,Male,64,Electronics,2,25,50,12,December,2023-12,Q4,55-64,Low,25
430,2023-08-07,CUST430,Female,43,Electronics,3,300,900,8,August,2023-08,Q3,35-44,High,300
431,2023-10-15,CUST431,Male,63,Electronics,4,300,1200,10,October,2023-10,Q4,55-64,High,300
432,2023-01-05,CUST432,Female,60,Electronics,2,500,1000,1,January,2023-01,Q1,55-64,High,500
433,2023-02-27,CUST433,Male,29,Beauty,4,50,200,2,February,2023-02,Q1,25-34,Medium,50
434,2023-02-08,CUST434,Female,43,Electronics,2,25,50,2,February,2023-02,Q1,35-44,Low,25
435,2023-12-20,CUST435,Female,30,Beauty,3,300,900,12,December,2023-12,Q4,25-34,High,300
436,2023-03-18,CUST436,Female,57,Clothing,4,30,120,3,March,2023-03,Q1,55-64,Medium,30
437,2023-10-07,CUST437,Female,35,Electronics,4,300,1200,10,October,2023-10,Q4,35-44,High,300
438,2023-01-19,CUST438,Female,42,Clothing,1,30,30,1,January,2023-01,Q1,35-44,Low,30
439,2023-07-09,CUST439,Male,50,Clothing,3,25,75,7,July,2023-07,Q3,45-54,Low,25
440,2023-10-26,CUST440,Male,64,Clothing,2,300,600,10,October,2023-10,Q4,55-64,High,300
441,2023-10-10,CUST441,Male,57,Beauty,4,300,1200,10,October,2023-10,Q4,55-64,High,300
442,2023-03-17,CUST442,Female,60,Clothing,4,25,100,3,March,2023-03,Q1,55-64,Medium,25
443,2023-08-09,CUST443,Male,29,Clothing,2,300,600,8,August,2023-08,Q3,25-34,High,300
444,2023-03-07,CUST444,Female,61,Clothing,3,30,90,3,March,2023-03,Q1,55-64,Low,30
445,2023-01-22,CUST445,Female,53,Electronics,1,300,300,1,January,2023-01,Q1,45-54,Medium,300
446,2023-06-07,CUST446,Male,21,Electronics,1,50,50,6,June,2023-06,Q2,18-24,Low,50
447,2023-07-06,CUST447,Male,22,Beauty,4,500,2000,7,July,2023-07,Q3,18-24,High,500
448,2023-01-21,CUST448,Female,54,Beauty,2,30,60,1,January,2023-01,Q1,45-54,Low,30
449,2023-07-03,CUST449,Male,25,Electronics,4,50,200,7,July,2023-07,Q3,25-34,Medium,50
450,2023-04-18,CUST450,Female,59,Beauty,2,25,50,4,April,2023-04,Q2,55-64,Low,25
451,2023-12-16,CUST451,Female,45,Electronics,1,30,30,12,December,2023-12,Q4,45-54,Low,30
452,2023-05-08,CUST452,Female,48,Clothing,3,500,1500,5,May,2023-05,Q2,45-54,High,500
453,2023-12-08,CUST453,Female,26,Clothing,2,500,1000,12,December,2023-12,Q4,25-34,High,500
454,2023-02-22,CUST454,Female,46,Beauty,1,25,25,2,February,2023-02,Q1,45-54,Low,25
455,2023-07-01,CUST455,Male,31,Electronics,4,25,100,7,July,2023-07,Q3,25-34,Medium,25
456,2023-10-14,CUST456,Male,57,Electronics,2,30,60,10,October,2023-10,Q4,55-64,Low,30
457,2023-07-28,CUST457,Female,58,Beauty,3,300,900,7,July,2023-07,Q3,55-64,High,300
458,2023-11-14,CUST458,Female,39,Electronics,4,25,100,11,November,2023-11,Q4,35-44,Medium,25
459,2023-03-21,CUST459,Male,28,Clothing,4,300,1200,3,March,2023-03,Q1,25-34,High,300
460,2023-05-02,CUST460,Male,40,Beauty,1,50,50,5,May,2023-05,Q2,35-44,Low,50
461,2023-03-25,CUST461,Female,18,Beauty,2,500,1000,3,March,2023-03,Q1,18-24,High,500
462,2023-04-01,CUST462,Male,63,Electronics,4,300,1200,4,April,2023-04,Q2,55-64,High,300
463,2023-07-31,CUST463,Female,54,Beauty,3,500,1500,7,July,2023-07,Q3,45-54,High,500
464,2023-01-13,CUST464,Male,38,Electronics,2,300,600,1,January,2023-01,Q1,35-44,High,300
465,2023-04-02,CUST465,Female,43,Electronics,3,50,150,4,April,2023-04,Q2,35-44,Medium,50
466,2023-06-20,CUST466,Male,63,Electronics,4,25,100,6,June,2023-06,Q2,55-64,Medium,25
467,2023-07-30,CUST467,Female,53,Electronics,3,50,150,7,July,2023-07,Q3,45-54,Medium,50
468,2023-12-09,CUST468,Male,40,Electronics,1,25,25,12,December,2023-12,Q4,35-44,Low,25
469,2023-05-08,CUST469,Male,18,Beauty,3,25,75,5,May,2023-05,Q2,18-24,Low,25
470,2023-05-17,CUST470,Female,57,Clothing,2,500,1000,5,May,2023-05,Q2,55-64,High,500
471,2023-03-23,CUST471,Male,32,Clothing,3,50,150,3,March,2023-03,Q1,25-34,Medium,50
472,2023-12-26,CUST472,Female,38,Beauty,3,300,900,12,December,2023-12,Q4,35-44,High,300
473,2023-02-25,CUST473,Male,64,Beauty,1,50,50,2,February,2023-02,Q1,55-64,Low,50
474,2023-07-15,CUST474,Female,26,Clothing,3,500,1500,7,July,2023-07,Q3,25-34,High,500
475,2023-01-20,CUST475,Male,26,Clothing,3,25,75,1,January,2023-01,Q1,25-34,Low,25
476,2023-08-29,CUST476,Female,27,Clothing,4,500,2000,8,August,2023-08,Q3,25-34,High,500
477,2023-04-24,CUST477,Male,43,Clothing,4,30,120,4,April,2023-04,Q2,35-44,Medium,30
478,2023-04-13,CUST478,Female,58,Clothing,2,30,60,4,April,2023-04,Q2,55-64,Low,30
479,2023-08-24,CUST479,Male,52,Electronics,4,300,1200,8,August,2023-08,Q3,45-54,High,300
480,2023-06-29,CUST480,Female,42,Beauty,4,500,2000,6,June,2023-06,Q2,35-44,High,500
481,2023-06-06,CUST481,Female,43,Electronics,4,300,1200,6,June,2023-06,Q2,35-44,High,300
482,2023-04-27,CUST482,Female,28,Clothing,4,300,1200,4,April,2023-04,Q2,25-34,High,300
483,2023-04-25,CUST483,Male,55,Clothing,1,30,30,4,April,2023-04,Q2,55-64,Low,30
484,2023-01-13,CUST484,Female,19,Clothing,4,300,1200,1,January,2023-01,Q1,18-24,High,300
485,2023-12-04,CUST485,Male,24,Electronics,1,30,30,12,December,2023-12,Q4,18-24,Low,30
486,2023-04-09,CUST486,Female,35,Electronics,1,25,25,4,April,2023-04,Q2,35-44,Low,25
487,2023-07-24,CUST487,Male,44,Clothing,4,500,2000,7,July,2023-07,Q3,35-44,High,500
488,2023-06-18,CUST488,Female,51,Electronics,3,300,900,6,June,2023-06,Q2,45-54,High,300
489,2023-05-23,CUST489,Male,44,Electronics,1,30,30,5,May,2023-05,Q2,35-44,Low,30
490,2023-02-05,CUST490,Male,34,Clothing,3,50,150,2,February,2023-02,Q1,25-34,Medium,50
491,2023-05-23,CUST491,Female,60,Electronics,3,300,900,5,May,2023-05,Q2,55-64,High,300
492,2023-06-29,CUST492,Male,61,Beauty,4,25,100,6,June,2023-06,Q2,55-64,Medium,25
493,2023-11-25,CUST493,Male,41,Beauty,2,25,50,11,November,2023-11,Q4,35-44,Low,25
494,2023-09-18,CUST494,Female,42,Beauty,4,50,200,9,September,2023-09,Q3,35-44,Medium,50
495,2023-07-24,CUST495,Male,24,Beauty,2,30,60,7,July,2023-07,Q3,18-24,Low,30
496,2023-12-14,CUST496,Male,23,Clothing,2,300,600,12,December,2023-12,Q4,18-24,High,300
497,2023-10-02,CUST497,Male,41,Clothing,4,30,120,10,October,2023-10,Q4,35-44,Medium,30
498,2023-06-19,CUST498,Female,50,Clothing,4,25,100,6,June,2023-06,Q2,45-54,Medium,25
499,2023-01-15,CUST499,Male,46,Beauty,2,30,60,1,January,2023-01,Q1,45-54,Low,30
